id;name;description;send_reports
1;Guinea;AGP withdrawal;Handmade Plastic Hat Infrastructure
2;Public-key transmit Rhode Island;New Israeli Sheqel Rubber paradigms;Alabama Exclusive
3;Handmade Frozen Towels;productivity;Borders Rapid Persevering
4;leading-edge bypass withdrawal;approach Chief;SCSI navigate multi-byte
5;logistical system-worthy;Avon Fundamental Senior;Lead copying
6;Finland JBOD;Jewelery;bandwidth-monitored
7;Metrics withdrawal;Quality;Monitored Functionality
8;Steel target;Intelligent Steel Chair ivory;Gourde US Dollar
9;Washington Jordanian Dinar auxiliary;Architect Bacon out-of-the-box;facilitate Solomon Islands
10;Executive;Tanzanian Shilling wireless;Credit Card Account
