id;duration;date;short_description;description;member_id;project_id
1;21557195122862;2026-02-09;Cambridgeshire mission-critical Multi-layered;Developer;1;1
2;19997498922550;2026-02-09;Avon killer;Spur deposit Metal;2;2
3;27215220567666;2026-02-09;encryption;Investment Account;1;3
4;15893240687147;2026-02-09;knowledge base Alabama Chief;initiatives next-generation;2;4
5;131756508771;2026-02-09;Montana productize;Towels coherent;1;5
6;6669194909215;2026-02-09;forecast;Metal clicks-and-mortar;2;6
7;20028283119435;2026-02-09;Rubber Architect;Operative Hat IB;1;7
8;13976358204721;2026-02-09;card plug-and-play;violet Practical Plastic Car;2;8
9;747577597904;2026-02-09;maximize Customer-focused;Technician invoice;1;9
10;9755825111865;2026-02-09;multi-byte;Small Plastic Pants connect;2;10
11;10701685191242;2026-02-09;Cambridgeshire mission-critical Multi-layered;Developer;1;1
12;26481795107429;2026-02-09;Avon killer;Spur deposit Metal;2;2
13;28594396103953;2026-02-09;encryption;Investment Account;1;3
14;26024904625803;2026-02-09;knowledge base Alabama Chief;initiatives next-generation;2;4
15;18138584413578;2026-02-09;Montana productize;Towels coherent;1;5
16;11847996683179;2026-02-09;forecast;Metal clicks-and-mortar;2;6
17;20786854874428;2026-02-09;Rubber Architect;Operative Hat IB;1;7
18;17690405775333;2026-02-09;card plug-and-play;violet Practical Plastic Car;2;8
19;1874347668105;2026-02-09;maximize Customer-focused;Technician invoice;1;9
20;4610750614667;2026-02-09;multi-byte;Small Plastic Pants connect;2;10
21;16805632521639;2026-02-09;Cambridgeshire mission-critical Multi-layered;Developer;1;1
22;2884853081480;2026-02-09;Avon killer;Spur deposit Metal;2;2
23;4436501617567;2026-02-09;encryption;Investment Account;1;3
24;20279577982646;2026-02-09;knowledge base Alabama Chief;initiatives next-generation;2;4
25;3204341589146;2026-02-09;Montana productize;Towels coherent;1;5
26;23303430982767;2026-02-09;forecast;Metal clicks-and-mortar;2;6
27;8477066663785;2026-02-09;Rubber Architect;Operative Hat IB;1;7
28;420550598380;2026-02-09;card plug-and-play;violet Practical Plastic Car;2;8
29;3562530523315;2026-02-09;maximize Customer-focused;Technician invoice;1;9
30;25295358518841;2026-02-09;multi-byte;Small Plastic Pants connect;2;10
31;24724924576016;2026-02-09;Cambridgeshire mission-critical Multi-layered;Developer;1;1
32;6221290701475;2026-02-09;Avon killer;Spur deposit Metal;2;2
33;9277365306758;2026-02-09;encryption;Investment Account;1;3
34;27067794582241;2026-02-09;knowledge base Alabama Chief;initiatives next-generation;2;4
35;19999645078637;2026-02-09;Montana productize;Towels coherent;1;5
36;24346065050053;2026-02-09;forecast;Metal clicks-and-mortar;2;6
37;2628647396372;2026-02-09;Rubber Architect;Operative Hat IB;1;7
38;1908516876407;2026-02-09;card plug-and-play;violet Practical Plastic Car;2;8
39;5601773405360;2026-02-09;maximize Customer-focused;Technician invoice;1;9
40;15188110303468;2026-02-09;multi-byte;Small Plastic Pants connect;2;10
41;26268899305624;2026-02-09;Work on Guinea project;Task 1 for Guinea project;2;1
42;7028747056385;2026-02-09;Work on Guinea project;Task 2 for Guinea project;2;1
43;8110777319006;2026-02-09;Work on Guinea project;Task 3 for Guinea project;2;1
44;5143257351967;2026-02-09;Work on Guinea project;Task 4 for Guinea project;2;1
45;26494658319757;2026-02-09;Work on Guinea project;Task 5 for Guinea project;2;1
